ticker,name,close,change,market,date
00951,台新日本半導體,16.66,-0.7,TWSE,2026-09-11
00952,凱基台灣AI50,17.8,-0.24,TWSE,2026-09-11
00953B,群益優選非投等債,9.51,0.02,TWSE,2026-09-11
00954,中信日本半導體,17.78,-0.75,TWSE,2026-09-11
00956,中信日經高股息,13.57,0.07,TWSE,2026-09-11
00960,野村全球航運龍頭,21.94,0.41,TWSE,2026-09-11
00961,FT臺灣永續高息,13.36,-0.07,TWSE,2026-09-11
00962,台新AI優息動能,15.01,-0.22,TWSE,2026-09-11
00963,中信全球高股息,13.05,0.01,TWSE,2026-09-11
00964,中信亞太高股息,14.86,-0.09,TWSE,2026-09-11
00965,元大航太防衛科技,24.99,-0.06,TWSE,2026-09-11
00971,野村美國研發龍頭,17.16,-0.04,TWSE,2026-09-11
00972,野村日本動能高息,21.84,0.03,TWSE,2026-09-11
009800,中信NASDAQ,12.81,-0.11,TWSE,2026-09-11
009801,中信美國創新科技,11.11,-0.06,TWSE,2026-09-11
009802,富邦旗艦50,19.92,-0.35,TWSE,2026-09-11
009803,玉山市值動能50,21.76,-0.4,TWSE,2026-09-11
009804,聯邦台精彩50,22.95,-0.3,TWSE,2026-09-11
009805,台新美國電力基建,14.92,-0.18,TWSE,2026-09-11
009808,華南永昌優選50,31.04,-0.36,TWSE,2026-09-11
009809,富邦淨零ESG50,18.16,-0.1,TWSE,2026-09-11
00980A,主動野村臺灣優選,24.32,-0.42,TWSE,2026-09-11
009810,玉山全球藍籌100,20.99,-0.02,TWSE,2026-09-11
009811,統一美國50,13.14,-0.02,TWSE,2026-09-11
009812,野村日本東證,12.94,-0.04,TWSE,2026-09-11
009813,貝萊德標普卓越50,11.2,-0.02,TWSE,2026-09-11
009816,凱基台灣TOP50,15.88,-0.15,TWSE,2026-09-11
009817,國泰日本不動產,9.06,-0.04,TWSE,2026-09-11
009818,華南永昌NASDAQxT,19.8,-0.12,TWSE,2026-09-11
009819,中信數據及電力,9.72,-0.09,TWSE,2026-09-11
00981A,主動統一台股增長,29.44,-0.45,TWSE,2026-09-11
00981T,平衡凱基雙核收息,11.74,-0.09,TWSE,2026-09-11
009820,元大納斯達克精選,9.77,-0.14,TWSE,2026-09-11
009821,野村稀土關鍵資源,14.48,-0.45,TWSE,2026-09-11
009824,群益美國科技巨頭,10.02,-0.05,TWSE,2026-09-11
009826,貝萊德世界股票,9.97,-0.04,TWSE,2026-09-11
009827,玉山未來全球算力,10.03,-0.11,TWSE,2026-09-11
009828,中信台日韓PCB,9.45,-0.14,TWSE,2026-09-11
009829,大華韓國KOSPI50,10.85,-0.3,TWSE,2026-09-11
00982A,主動群益台灣強棒,22.37,-0.41,TWSE,2026-09-11
00982D,主動富邦動態入息,9.52,-0.06,TWSE,2026-09-11
00982T,平衡兆豐台美動能,15.91,-0.3,TWSE,2026-09-11
00983A,主動中信ARK創新,12.09,-0.11,TWSE,2026-09-11
00983D,主動富邦複合收益,9.76,-0.03,TWSE,2026-09-11
00984A,主動安聯台灣高息,15.37,-0.17,TWSE,2026-09-11
00984D,主動聯博全球非投,9.79,-0.02,TWSE,2026-09-11
00985A,主動野村台灣50,22.7,-0.31,TWSE,2026-09-11
00985B,群益ESG投等債0-5,10.08,0.02,TWSE,2026-09-11
00986A,主動台新龍頭成長,14.21,-0.19,TWSE,2026-09-11
00987A,主動台新優勢成長,16.18,-0.37,TWSE,2026-09-11
00988A,主動統一全球創新,15.96,-0.31,TWSE,2026-09-11
00989A,主動摩根美國科技,16.68,-0.14,TWSE,2026-09-11
00990A,主動元大AI新經濟,14.82,-0.32,TWSE,2026-09-11
00991A,主動復華未來50,17.36,-0.38,TWSE,2026-09-11
00991B,貝萊德A級公司債,14.54,-0.05,TWSE,2026-09-11
00992A,主動群益科技創新,17.87,-0.29,TWSE,2026-09-11
00993A,主動安聯台灣,13.14,-0.27,TWSE,2026-09-11
00994A,主動第一金台股優,16.69,-0.25,TWSE,2026-09-11
00995A,主動中信台灣卓越,17.06,-0.32,TWSE,2026-09-11
00996A,主動兆豐台灣豐收,13.73,-0.26,TWSE,2026-09-11
00997A,主動群益美國增長,10.88,-0.14,TWSE,2026-09-11
00999A,主動野村臺灣高息,11.36,-0.14,TWSE,2026-09-11
01001T,土銀富邦R1,11.09,-0.06,TWSE,2026-09-11
01002T,土銀國泰R1,12.99,-0.03,TWSE,2026-09-11
01004T,土銀富邦R2,10.05,-0.01,TWSE,2026-09-11
01007T,兆豐國泰R2,11.17,-0.02,TWSE,2026-09-11
01009T,王道圓滿R1,5.7,0.0,TWSE,2026-09-11
020000,富邦特選蘋果N,30.53,-0.55,TWSE,2026-09-11
02001L,富邦蘋果正二N,133.6,-7.3,TWSE,2026-09-11
020029,元大ESG高股息N,20.22,0.11,TWSE,2026-09-11
020030,統一智慧電動車N,19.67,-0.2,TWSE,2026-09-11
020031,統一IC設計臺灣N,10.63,-0.3,TWSE,2026-09-11
020034,元大IC設計N,15.6,-0.24,TWSE,2026-09-11
020038,元大ESG配息N,15.62,0.12,TWSE,2026-09-11
020039,元大加權N,14.76,-0.24,TWSE,2026-09-11
1101,台泥,24.5,-0.3,TWSE,2026-09-11
1101B,台泥乙特,43.1,-0.05,TWSE,2026-09-11
1102,亞泥,35.3,-0.15,TWSE,2026-09-11
1103,嘉泥,13.05,-0.1,TWSE,2026-09-11
1104,環泥,27.2,-0.05,TWSE,2026-09-11
1108,幸福,11.2,-0.15,TWSE,2026-09-11
1109,信大,13.35,-0.05,TWSE,2026-09-11
1110,東泥,15.85,-0.15,TWSE,2026-09-11
1201,味全,12.05,0.0,TWSE,2026-09-11
1203,味王,43.7,-1.2,TWSE,2026-09-11
1210,大成,52.1,-0.2,TWSE,2026-09-11
1213,大飲,7.49,0.19,TWSE,2026-09-11
1215,卜蜂,110.5,-0.5,TWSE,2026-09-11
1216,統一,75.0,-0.6,TWSE,2026-09-11
1217,愛之味,9.96,-0.01,TWSE,2026-09-11
1218,泰山,14.25,-0.2,TWSE,2026-09-11
1219,福壽,11.4,-0.15,TWSE,2026-09-11
1220,台榮,10.85,0.0,TWSE,2026-09-11
1225,福懋油,24.3,-0.05,TWSE,2026-09-11
1227,佳格,28.45,0.1,TWSE,2026-09-11
1229,聯華,40.7,-1.05,TWSE,2026-09-11
1231,聯華食,80.1,-0.1,TWSE,2026-09-11
1232,大統益,156.0,-0.5,TWSE,2026-09-11
1233,天仁,28.2,0.2,TWSE,2026-09-11
1234,黑松,33.3,-0.05,TWSE,2026-09-11
1235,興泰,37.6,-1.4,TWSE,2026-09-11
1236,宏亞,26.1,-0.1,TWSE,2026-09-11
1256,鮮活果汁-KY,171.0,-1.5,TWSE,2026-09-11
1301,台塑,64.6,-1.0,TWSE,2026-09-11
1303,南亞,234.5,-9.5,TWSE,2026-09-11
1304,台聚,12.35,-0.1,TWSE,2026-09-11
1305,華夏,12.15,-0.1,TWSE,2026-09-11
1307,三芳,30.55,-0.2,TWSE,2026-09-11
1308,亞聚,14.3,-0.15,TWSE,2026-09-11
1309,台達化,14.05,0.15,TWSE,2026-09-11
1310,台苯,8.63,-0.09,TWSE,2026-09-11
1312,國喬,14.35,-0.6,TWSE,2026-09-11
1312A,國喬特,22.8,0.0,TWSE,2026-09-11
1313,聯成,11.95,0.1,TWSE,2026-09-11
1314,中石化,8.12,-0.01,TWSE,2026-09-11
1315,達新,66.3,0.0,TWSE,2026-09-11
1316,上曜,10.7,-0.35,TWSE,2026-09-11
1319,東陽,79.0,0.6,TWSE,2026-09-11
